,Adj_Close,atr,bullish,gap,r2,rank_score,slope,shares,rounded_shares,cost,cumulative_cost,weight,cumulative_weight
HSTM,30.2,0.6980183897657561,True,False,0.7386911523546821,1.0796582437606963,1.4615827471591254,28.65254023853395,28,845.6,122599.29475586598,0.04228,6.129964737793298
UNT,26.98,0.9949693360000923,True,False,0.5954325898568746,1.0793742624712845,1.8127564410452173,20.101121990756653,20,539.6,123138.89475586599,0.02698,6.156944737793298
GPMT,19.32,0.21794282119712616,True,False,0.8588238458090806,1.07006566006133,1.2459664054311894,91.76718870639142,91,1758.1200000000001,124897.01475586598,0.08790600000000001,6.244850737793298
NAVG,69.1,0.8739299720677479,True,False,0.6116935969597299,1.0664063006498226,1.743366786819624,22.885128830951206,22,1520.1999999999998,126417.21475586598,0.07601,6.320860737793298
RYAM,20.72,0.5115468619299238,True,False,0.5539484796531946,1.0613461091480136,1.9159653796910514,39.09710231540776,39,808.0799999999999,127225.29475586598,0.040403999999999995,6.361264737793298
GME,16.52,0.61904294803022,True,False,0.5717035871044305,1.0575977501190903,1.8499057448207052,32.30793608688949,32,528.64,127753.93475586598,0.026432,6.387696737793298
NYMT,6.108402555910543,0.0711375286011888,True,False,0.8308120383598886,1.0517029633979966,1.265873524743539,281.1455555635619,281,1716.4611182108627,129470.39587407684,0.08582305591054314,6.473519793703841
SMTC,57.3,1.6378108476804876,True,False,0.5776677108504621,1.0506029940024328,1.8186977985245174,12.21142235583831,12,687.5999999999999,130157.99587407685,0.034379999999999994,6.5078997937038405
SR,74.55,1.0606569795559633,True,False,0.743281383865074,1.049509500400287,1.4119948692147006,18.856237582458434,18,1341.8999999999999,131499.89587407684,0.06709499999999999,6.574994793703841
GTLS,74.13,1.8677034480015915,True,False,0.5747500382582587,1.0470775198374307,1.8217963464787732,10.708338104424252,10,741.3,132241.19587407683,0.037065,6.612059793703841
FBP,9.17,0.20328428979812757,True,False,0.7063986697953437,1.046180800857127,1.4810061875685923,98.38438582667207,98,898.66,133139.85587407683,0.044933,6.656992793703841
